KakaoTalk Chats with 사형집행소 -CH1 (8)
Date Saved : January 22, 2023, 11:00 PM


September 21, 2022, 5:12 PM
October 1, 2022, 1:46 AM, 이가은 : 1921년인듯
October 1, 2022, 1:46 AM, 이가은 : 그러게?
October 1, 2022, 1:47 AM, 양유준 : 사공이 너무 많은게 아닐까
October 1, 2022, 1:47 AM, 장동건 : 4공은 아니고
October 1, 2022, 1:47 AM, 이가은 : 3명밖에 없어
October 1, 2022, 1:47 AM, 장동건 : 3공인데도 이러네..
October 1, 2022, 1:47 AM, 이가은 : 3공
October 1, 2022, 1:47 AM, 장동건 : ㅋㅋㅋㅋㅋㅋㅋ
October 1, 2022, 1:47 AM, 장동건 : 늦었어
October 1, 2022, 1:47 AM, 이가은 : 아 아깝
October 1, 2022, 1:47 AM, 양유준 : 내가 보기엔 1공이어야 함
October 1, 2022, 1:47 AM, 양유준 : ㅋㅋ
October 1, 2022, 1:47 AM, 이가은 : 그건 좀 무섭네
October 1, 2022, 1:48 AM, 이가은 : 혼자서 말하다가 주제가 산으로 가기...
October 1, 2022, 1:48 AM, 양유준 : ㅋㅋㅋㅋㅋ
October 1, 2022, 1:48 AM, 장동건 : 어떻게 생각하는게 똑같지..
October 1, 2022, 1:48 AM, 이가은 : 그거 칭찬이야 욕이야
October 1, 2022, 1:49 AM, 이가은 : 욕인가
October 1, 2022, 1:49 AM, 장동건 : ㅊ이찬임
October 1, 2022, 1:49 AM, 장동건 : 칭찬
October 1, 2022, 1:49 AM, 이가은 : 칭찬인데 듣는 사람은 욕으로 들리는건가
October 1, 2022, 1:50 AM, 장동건 : 이쯤되면
October 1, 2022, 1:50 AM, 장동건 : 쟤랑 나랑
October 1, 2022, 1:50 AM, 장동건 : 뇌 뉴런 구조가 비슷한게 아닐까
October 1, 2022, 1:50 AM, 이가은 : 피자와 라마의 유전적 유사성
October 1, 2022, 1:50 AM, 이가은 : 이거 논문감이다
October 1, 2022, 1:50 AM, 양유준 : ?
October 1, 2022, 1:51 AM, 이가은 : ㄱ
October 1, 2022, 1:51 AM, 양유준 : 갑자기 내가 왜 튀어나옴?
October 1, 2022, 1:51 AM, 장동건 : ㄹㅇ
October 1, 2022, 1:51 AM, 장동건 : ㅈㄹ
October 1, 2022, 1:51 AM, 장동건 : 너요
October 1, 2022, 1:51 AM, 장동건 : 너
October 1, 2022, 1:51 AM, 장동건 : 464너
October 1, 2022, 1:51 AM, 이가은 : 아 나야?
October 1, 2022, 1:51 AM, 장동건 : ㅇㅇ
October 1, 2022, 1:51 AM, 양유준 : 어 너야
October 1, 2022, 1:51 AM, 장동건 : ㅇㅓ ㄴㅓㅇㅑ
October 1, 2022, 1:52 AM, 이가은 : 그럼 욕이네
October 1, 2022, 1:52 AM, 양유준 : 맞네
October 1, 2022, 1:52 AM, 이가은 : This message was deleted.
October 1, 2022, 1:52 AM, 이가은 : This message was deleted.
October 1, 2022, 1:52 AM, 장동건 : Emoticons
October 1, 2022, 1:52 AM, 이가은 : ^^
October 1, 2022, 1:52 AM, 장동건 : Emoticons
October 1, 2022, 1:53 AM, 이가은 : 라마와 사육사의 유전적 유사성
October 1, 2022, 1:53 AM, 이가은 : 딱히 끌리진 않네
October 1, 2022, 1:53 AM, 장동건 : 유전적은 아니지
October 1, 2022, 1:53 AM, 이가은 : 그럼 뭐라고하지
October 1, 2022, 1:54 AM, 장동건 : 뉴런구조적 유사성..?
October 1, 2022, 1:54 AM, 이가은 : 습성적...?
October 1, 2022, 1:55 AM, 양유준 : 외향적
October 1, 2022, 1:55 AM, 이가은 : 내향적이겠지
October 1, 2022, 1:55 AM, 양유준 : 외형적
October 1, 2022, 1:55 AM, 이가은 : 외향은 완전 다르지 않나
October 1, 2022, 1:55 AM, 장동건 : 지향 vs 지형
October 1, 2022, 1:56 AM, 이가은 : 아 잠만
October 1, 2022, 1:56 AM, 장동건 : 다르잠
October 1, 2022, 1:56 AM, 이가은 : 외양
October 1, 2022, 1:56 AM, 양유준 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
October 1, 2022, 1:56 AM, 이가은 : 맛이 간듯
October 1, 2022, 1:56 AM, 양유준 : 피자가 맛이 가면 무슨 맛으로 먹냐?
October 1, 2022, 1:57 AM, 이가은 : 무맛
October 1, 2022, 1:57 AM, 이가은 : 맛이 갔으니까
October 1, 2022, 1:57 AM, 장동건 : 곰팡이맛
October 1, 2022, 1:57 AM, 이가은 : 그리고 이거 주어 나임
October 1, 2022, 1:57 AM, 양유준 : 안 궁금해
October 1, 2022, 1:57 AM, 이가은 : 좋네
October 1, 2022, 1:57 AM, 이가은 : 신선한맛
October 1, 2022, 1:58 AM, 육지향 : 270...
October 1, 2022, 1:58 AM, 이가은 : ㅇㅇ
October 1, 2022, 1:58 AM, 양유준 : ?
October 1, 2022, 1:58 AM, 장동건 : 발 사이즈?
October 1, 2022, 1:58 AM, 장동건 : 키?
October 1, 2022, 1:58 AM, 이가은 : ??
October 1, 2022, 1:58 AM, 장동건 : (mm)
October 1, 2022, 1:58 AM, 이가은 : 키가 무슨
October 1, 2022, 1:58 AM, 이가은 : 이것도 문제야...
October 1, 2022, 1:59 AM, 장동건 : 땃쥐인데
October 1, 2022, 1:59 AM, 장동건 : 270이면
October 1, 2022, 1:59 AM, 양유준 : 뭔 의미임?
October 1, 2022, 1:59 AM, 장동건 : 겁나 큰거 아님..?
October 1, 2022, 1:59 AM, 장동건 : 3*3*3*2*5
October 1, 2022, 1:59 AM, 이가은 : 아하
October 1, 2022, 2:00 AM, 육지향 : 아니 너네 떠든게 270
October 1, 2022, 2:00 AM, 육지향 : ;;
October 1, 2022, 2:00 AM, 이가은 : 아 난또
October 1, 2022, 2:00 AM, 육지향 : 300+때 읽을껄 
October 1, 2022, 2:00 AM, 육지향 : 좀 더 했으면 300 찍었을텐데
October 1, 2022, 2:00 AM, 이가은 : 신장 공유하신줄...
October 1, 2022, 2:01 AM, 장동건 : 신장 하나만..
October 1, 2022, 2:01 AM, 이가은 : 헐 나도 신장하나만
October 1, 2022, 2:01 AM, 이가은 : 맞교환하자
October 1, 2022, 2:01 AM, 장동건 : 그 유전자형이 맞아야할텐데
October 1, 2022, 2:01 AM, 이가은 : 둘중 누구 신장이 더 값어치있을까
October 1, 2022, 2:02 AM, 장동건 : 글쎄
October 1, 2022, 2:02 AM, 이가은 : 아무래도 네거가 희소성 있을듯?
October 1, 2022, 2:02 AM, 장동건 : 그다지..
October 1, 2022, 2:03 AM, 장동건 : 매일 밤새면서 카페인에 찌든 신장 vs 걍 심플한 신장
October 1, 2022, 2:03 AM, 이가은 : 크기가
October 1, 2022, 2:03 AM, 장동건 : 나가
October 1, 2022, 2:04 AM, 이가은 : 뭐 신장을 이식하려고만 파는건 아니니까...^^
October 1, 2022, 2:04 AM, 이가은 : 여러 용도가 있잖아
October 1, 2022, 2:04 AM, 장동건 : ^^
October 1, 2022, 2:04 AM, 이가은 : ^^
October 1, 2022, 2:04 AM, 장동건 : ???: 라마 신장이 X력에 좋데~
October 1, 2022, 2:04 AM, 장동건 : 하면 라마 멸종위기..
October 1, 2022, 2:04 AM, 이가은 : 어 그거 떠오르다가 말았는데
October 1, 2022, 2:05 AM, 이가은 : 이제 나라에서 라마 보호할듯
October 1, 2022, 2:06 AM, 이가은 : 아니면 관광상품화?
October 1, 2022, 2:06 AM, 장동건 : X = 심폐지구
October 1, 2022, 2:06 AM, 이가은 : 나도 그렇게 생각함^^
October 1, 2022, 2:07 AM, 장동건 : t^^t
October 1, 2022, 2:07 AM, 이가은 : 아 졸리네
October 1, 2022, 2:08 AM, 장동건 : k
October 1, 2022, 2:08 AM, 장동건 : k
October 1, 2022, 2:08 AM, 장동건 : 자
October 1, 2022, 2:08 AM, 이가은 : 그래야할듯
October 1, 2022, 2:08 AM, 장동건 : 자지마
October 1, 2022, 2:08 AM, 장동건 : 이유는 없음
October 1, 2022, 2:08 AM, 이가은 : 뭐야
October 1, 2022, 2:09 AM, 양유준 : 너무 할 게 없어서 종이에다가 낙서 중
October 1, 2022, 2:09 AM, 이가은 : 넌 자라
October 1, 2022, 2:10 AM, 양유준 : Non
October 1, 2022, 2:10 AM, 이가은 : 왜
October 1, 2022, 2:10 AM, 장동건 : NaN
October 1, 2022, 2:11 AM, 이가은 : 아 나트륨 질소
October 1, 2022, 2:12 AM, 이가은 : 그럴수 있지
October 1, 2022, 2:12 AM, 장동건 : Nat A Number
October 1, 2022, 2:12 AM, 장동건 : Nat은 뭐야
October 1, 2022, 2:12 AM, 장동건 : Not
October 1, 2022, 2:12 AM, 이가은 : 그럴수도
October 1, 2022, 2:12 AM, 양유준 : Si B Al
October 1, 2022, 2:12 AM, 이가은 : ㅋㅋㄲㄱㅋㅋㅋㄱㅋㅋㄲㅋㄱ
October 1, 2022, 2:12 AM, 양유준 : 규소 붕소 알루미늄
October 1, 2022, 2:13 AM, 이가은 : 아 유익하네
October 1, 2022, 2:13 AM, 이가은 : 건전하고
October 1, 2022, 2:13 AM, 양유준 : F U C K
October 1, 2022, 2:13 AM, 양유준 : 플루오린 우라늄 탄소 칼륨
October 1, 2022, 2:13 AM, 장동건 : NaGa
October 1, 2022, 2:13 AM, 장동건 : 나트륨 갈륨
October 1, 2022, 2:13 AM, 양유준 : ㅋㅋㅋㅋㅋ
October 1, 2022, 2:13 AM, 이가은 : ㅣㅋㅋㄱㅋㄱㅋㅋㄲㅋㄱ
October 1, 2022, 2:14 AM, 장동건 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
October 1, 2022, 2:15 AM, 이가은 : 아 유튜브 뮤직쓰고 싶다
October 1, 2022, 2:15 AM, 양유준 : 시험 보기 싫다
October 1, 2022, 2:15 AM, 이가은 : 지금도 팝업화면 띄워놓고 듣고있음
October 1, 2022, 2:15 AM, 이가은 : 코로나 걸리시면 됩니다
October 1, 2022, 2:15 AM, 장동건 : Das is da music
October 1, 2022, 2:16 AM, 장동건 : 자 발음 적으세요
October 1, 2022, 2:16 AM, 이가은 : 싫어요
October 1, 2022, 2:16 AM, 장동건 : 적으세요
October 1, 2022, 2:17 AM, 이가은 : 싫은데요
October 1, 2022, 2:17 AM, 양유준 : 에스 이스트 뮤직
October 1, 2022, 2:17 AM, 장동건 : 다스 이스 다 ㅁ무시크
October 1, 2022, 2:17 AM, 장동건 : 라고 읽는데
October 1, 2022, 2:18 AM, 이가은 : Emoticons
October 1, 2022, 2:18 AM, 양유준 : ㅋㅋㅋㅋㅋ
October 1, 2022, 2:18 AM, 양유준 : 독일어지
October 1, 2022, 2:18 AM, 양유준 : ?
October 1, 2022, 2:18 AM, 장동건 : 예쓰
October 1, 2022, 2:18 AM, 이가은 : 그렇구나...
October 1, 2022, 2:18 AM, 장동건 : 도이치
October 1, 2022, 2:18 AM, 장동건 : 모터스
October 1, 2022, 2:18 AM, 장동건 : 주가조작사태
October 1, 2022, 2:19 AM, 장동건 : 에 대해서 어떻게 생각하시나요
October 1, 2022, 2:19 AM, 양유준 : 갑자기 갈틱폰 하고 싶다
October 1, 2022, 2:19 AM, 양유준 : 그게 뭔데
October 1, 2022, 2:19 AM, 이가은 : 뭐
October 1, 2022, 2:20 AM, 양유준 : 심심해 아는 얘기 좀 해봐
October 1, 2022, 2:20 AM, 이가은 : 이거 얘기하면 국정원 끌려갈수도 있어서
October 1, 2022, 2:20 AM, 이가은 : 노코멘트
October 1, 2022, 2:21 AM, 양유준 : 라마 죽었어
October 1, 2022, 2:21 AM, 이가은 : 아이고 불쌍해라
October 1, 2022, 2:21 AM, 양유준 : 묘비명 뭐임?
October 1, 2022, 2:22 AM, 이가은 : 라마어라 우리가 이해할수 없음
October 1, 2022, 2:22 AM, 양유준 : 웜종혐 쌤이 알지 않을까?
October 1, 2022, 2:22 AM, 이가은 : 웜종혐 쌤은
October 1, 2022, 2:22 AM, 이가은 : 피자어임?
October 1, 2022, 2:22 AM, 양유준 : ㅋㅋㅋㅋㅋㅋㅋ
October 1, 2022, 2:22 AM, 양유준 : 자동완성임ㅋㅋ
October 1, 2022, 2:22 AM, 이가은 : ㅋㄲㅋㅋㄱㅋㅋㄲㅋㄱ
October 1, 2022, 2:23 AM, 양유준 : 아니 진짜라고
October 1, 2022, 2:23 AM, 이가은 : 뭔ㅋㄱㅋㅋㄲㅋㄱㅋㅋ
October 1, 2022, 2:26 AM, 양유준 : This message was deleted.
October 1, 2022, 2:26 AM, 양유준 : This message was deleted.
October 1, 2022, 2:28 AM, 양유준 : This message was deleted.
October 1, 2022, 2:28 AM, 이가은 : 뭔진 모르겠지만
October 1, 2022, 2:28 AM, 이가은 : 훌륭한 선택이었어
October 1, 2022, 2:28 AM, 양유준 : This message was deleted.
October 1, 2022, 2:29 AM, 이가은 : This message was deleted.
October 1, 2022, 2:29 AM, 양유준 : 아무 일도 없었습니다
October 1, 2022, 2:29 AM, 이가은 : 어우 자야겠다
October 1, 2022, 2:42 AM, 장동건 : 겜중이라
October 1, 2022, 3:08 AM, 양유준 : 이 시간에?
October 1, 2022, 3:10 AM, 장동건 : ㅇㅇ
October 1, 2022, 4:12 AM, 강은솔 : 헤헤
October 1, 2022, 4:12 AM, 강은솔 : 잡혔다
October 1, 2022, 4:12 AM, 강은솔 : 나
October 1, 2022, 4:13 AM, 장동건 : ?
October 1, 2022, 4:13 AM, 강은솔 : 자러가고싶어
October 1, 2022, 4:17 AM, 양유준 : 아직도 게임 함?
October 1, 2022, 4:45 AM, 장동건 : dd
October 1, 2022, 4:45 AM, 장동건 : ㅇㅇ
October 1, 2022, 4:47 AM, 양유준 : 아
October 1, 2022, 7:30 AM, 방장봇 : 해가 중천이여 🔆
일어나 이것들아
October 1, 2022, 6:25 PM, 장동건 : 아침 5시에 잤는데 지금 깼네
October 1, 2022, 6:25 PM, 장동건 : 씻...
October 1, 2022, 6:51 PM, 육지향 : ㄹㅈㄷ
October 1, 2022, 6:51 PM, 장동건 : ㄹㅇ ㄹㅈㄷ
October 1, 2022, 7:07 PM, 양유준 : 실화임?
October 1, 2022, 7:08 PM, 장동건 : 200% 실화
October 1, 2022, 7:09 PM, 육지향 : 오늘 아무것도 없었음? 학원 이런거?
October 1, 2022, 7:14 PM, 장동건 : ㅇㅇ..
October 1, 2022, 7:14 PM, 장동건 : 다행히도..
October 1, 2022, 8:05 PM, 육지향 : 다행이네
October 1, 2022, 8:06 PM, 장동건 : ㄹㅇ,,
October 1, 2022, 8:09 PM, 육지향 : 있었음 진짜.. 와우
October 1, 2022, 8:09 PM, 장동건 : 와우
October 1, 2022, 8:09 PM, 장동건 : 씻
October 1, 2022, 8:13 PM, 육지향 : 저번처럼....
October 1, 2022, 8:14 PM, 장동건 : 으악
October 1, 2022, 10:00 PM, 방장봇 : 발닦고 잠이나 자
October 1, 2022, 11:21 PM, 가은 : Poll Cancelled in Boards: 롯데월드🏰

October 2, 2022, 6:54 AM
October 2, 2022, 6:54 AM, 장동건 : 와 해뜬당
October 2, 2022, 6:56 AM, 이가은 : 오 흐려서 안 보여
October 2, 2022, 6:56 AM, 장동건 : 요새 안개가 끼는게
October 2, 2022, 6:56 AM, 장동건 : 지구가 많이 아픈가..
October 2, 2022, 6:57 AM, 이가은 : 지구는 아프지 않아요
October 2, 2022, 6:57 AM, 이가은 : 아플 예정인건 인간
October 2, 2022, 6:57 AM, 장동건 : 지구를 의인화해서 표현한건데
October 2, 2022, 6:57 AM, 장동건 : 너무하네
October 2, 2022, 6:57 AM, 이가은 : 아 이미 아픈가
October 2, 2022, 6:58 AM, 장동건 : 예정인지 아닌지는 모르지
October 2, 2022, 6:58 AM, 이가은 : 나도 의인화했는데
October 2, 2022, 6:58 AM, 장동건 : 아니 근데
October 2, 2022, 6:58 AM, 장동건 : 너는 내가 어느 시간에 카톡을 해도 3분 내로 답하는데
October 2, 2022, 6:59 AM, 장동건 : 뭐 24/7 콜센터야...?
October 2, 2022, 6:59 AM, 이가은 : ?
October 2, 2022, 6:59 AM, 장동건 : ?
October 2, 2022, 6:59 AM, 이가은 : 왜냐하면 좀 간격있게 확인하면
October 2, 2022, 6:59 AM, 이가은 : 씹기 때문입니다
October 2, 2022, 6:59 AM, 장동건 : 역시 씹어야 제맛..
October 2, 2022, 7:00 AM, 이가은 : 아 씹는맛이 있네
October 2, 2022, 7:00 AM, 장동건 : Emoticons
October 2, 2022, 7:00 AM, 장동건 : 봐봐 얼마나 맛있게 씹어
October 2, 2022, 7:00 AM, 이가은 : 아니 저거 문거잖아
October 2, 2022, 7:01 AM, 장동건 : 그
October 2, 2022, 7:01 AM, 장동건 : 치설로
October 2, 2022, 7:01 AM, 장동건 : 갉아먹는거
October 2, 2022, 7:01 AM, 장동건 : ㅇㅇ 그거래..
October 2, 2022, 7:01 AM, 이가은 : 아하
October 2, 2022, 7:01 AM, 장동건 : 거진 달팽이마냥
October 2, 2022, 7:01 AM, 이가은 : ㅋㄱㅋㅋㄲㅋㅋㄱ
October 2, 2022, 7:01 AM, 장동건 : 저거 뺏으면
October 2, 2022, 7:01 AM, 장동건 : 표면 거칠음
October 2, 2022, 7:02 AM, 이가은 : 어쨌든 그래서 바로바로 답장하는것처럼 보인다는 사실!
October 2, 2022, 7:02 AM, 장동건 : 그러니까 네말은
October 2, 2022, 7:02 AM, 이가은 : 의문 해결!
October 2, 2022, 7:02 AM, 장동건 : 답장을 늦게 할 바에는 안하겠다 이건가
October 2, 2022, 7:02 AM, 이가은 : 아니야...?
October 2, 2022, 7:02 AM, 장동건 : ㅁㄹ?
October 2, 2022, 7:03 AM, 이가은 : 이미 뭔가 해결이 된 상태이거나
October 2, 2022, 7:03 AM, 이가은 : 할말이 없거나
October 2, 2022, 7:03 AM, 장동건 : 그러면
October 2, 2022, 7:03 AM, 이가은 : 할말은 있는데 하지 않거나
October 2, 2022, 7:03 AM, 장동건 : 누군가 issue를 열었는데
October 2, 2022, 7:03 AM, 장동건 : 처리하러 오니
October 2, 2022, 7:03 AM, 장동건 : 이미 close 된 상태거나
October 2, 2022, 7:03 AM, 장동건 : fix에 들어가있는 상태다,,?
October 2, 2022, 7:04 AM, 이가은 : 고운 우리말좀
October 2, 2022, 7:04 AM, 장동건 : ㅈㅅ 
October 2, 2022, 7:04 AM, 이가은 : 뭐 그런 느낌이지
October 2, 2022, 7:04 AM, 장동건 : 저런 단어의 한국어는 내 뇌에서 deprecated 되어서
October 2, 2022, 7:04 AM, 장동건 : 나오지가 않네;;
October 2, 2022, 7:04 AM, 장동건 : 맨날 저렇게 쓰니까
October 2, 2022, 7:05 AM, 이가은 : 사전을 읽어
October 2, 2022, 7:05 AM, 장동건 : ㅎㅎ;;;
October 2, 2022, 7:05 AM, 이가은 : 집에 있는데
October 2, 2022, 7:05 AM, 이가은 : 3천원
October 2, 2022, 7:05 AM, 장동건 : 그거 둔기 아니냐
October 2, 2022, 7:05 AM, 장동건 : 도둑 퇴치용인걸로 아는데
October 2, 2022, 7:05 AM, 이가은 : 법적으로는 둔기 아님
October 2, 2022, 7:06 AM, 이가은 : 그니까 누군가 나를 해하려고 할때
October 2, 2022, 7:06 AM, 장동건 : 음..
October 2, 2022, 7:06 AM, 장동건 : 그걸로 사람을 내리치면
October 2, 2022, 7:06 AM, 이가은 : 정당방위로 인정되고 싶다면
October 2, 2022, 7:06 AM, 이가은 : 그렇지
October 2, 2022, 7:06 AM, 장동건 : 형법상 특수폭행에 해당되지 않는다는거지?
October 2, 2022, 7:06 AM, 이가은 : ㅇㅇㅇㅇㅇ
October 2, 2022, 7:06 AM, 장동건 : 오
October 2, 2022, 7:06 AM, 장동건 : 꿀팁 ㄱㅅ
October 2, 2022, 7:07 AM, 이가은 : ㄲㅋㅋㄱㄲㅋㅋㄱ
October 2, 2022, 7:07 AM, 장동건 : 사전의 사가 死였네..
October 2, 2022, 7:08 AM, 이가은 : 몰랐음?
October 2, 2022, 7:08 AM, 장동건 : 死戰
October 2, 2022, 7:08 AM, 장동건 : 이거였노,,,
October 2, 2022, 7:08 AM, 장동건 : 죽는 싸움이였네..
October 2, 2022, 7:08 AM, 이가은 : 그렇지
October 2, 2022, 7:09 AM, 장동건 : 음
October 2, 2022, 7:09 AM, 장동건 : 몰랐네
October 2, 2022, 7:09 AM, 이가은 : 주어좀
October 2, 2022, 7:10 AM, 장동건 : S를 몰랐네
October 2, 2022, 7:10 AM, 장동건 : 됐음?
October 2, 2022, 7:11 AM, 이가은 : Emoticons
October 2, 2022, 7:11 AM, 장동건 : 아니 어제 내가 또 다른 가은이한테 영어 문장 형식 설명해줬단 말임
October 2, 2022, 7:11 AM, 이가은 : ㅇㅇ
October 2, 2022, 7:11 AM, 장동건 : 그래서 아직 S는 O를 O.C하게 V한다~
October 2, 2022, 7:12 AM, 장동건 : 뭐 이런게 아직 뇌에 남아있음
October 2, 2022, 7:12 AM, 이가은 : 물이 덜 빠졌다?
October 2, 2022, 7:12 AM, 장동건 : ㅇㅇ
October 2, 2022, 7:12 AM, 장동건 : 자 여기서 문제!
October 2, 2022, 7:12 AM, 장동건 : 이 ㅇ예문은
October 2, 2022, 7:12 AM, 장동건 : 몇형식의 해석문일까요
October 2, 2022, 7:12 AM, 이가은 : 건조기에 넣고 돌려버릴까...
October 2, 2022, 7:12 AM, 이가은 : 5
October 2, 2022, 7:12 AM, 장동건 : 정답!
October 2, 2022, 7:13 AM, 이가은 : 뭐 이딴걸...
October 2, 2022, 7:13 AM, 장동건 : 자 저기서 문제
October 2, 2022, 7:13 AM, 장동건 : O.C는 뭘까요
October 2, 2022, 7:13 AM, 이가은 : 목적격 보어
October 2, 2022, 7:13 AM, 장동건 : I.O는?
October 2, 2022, 7:14 AM, 장동건 : 5
October 2, 2022, 7:14 AM, 장동건 : 4
October 2, 2022, 7:14 AM, 장동건 : 3
October 2, 2022, 7:14 AM, 장동건 : 2
October 2, 2022, 7:14 AM, 장동건 : 1
October 2, 2022, 7:14 AM, 이가은 : 예문에 안 나와있는데
October 2, 2022, 7:14 AM, 장동건 : 땡!
October 2, 2022, 7:14 AM, 이가은 : Emoticons
October 2, 2022, 7:14 AM, 장동건 : Indirect Object
October 2, 2022, 7:14 AM, 장동건 : 간접 목적어
October 2, 2022, 7:14 AM, 이가은 : 흙으로 돌아가지 않을래
October 2, 2022, 7:14 AM, 장동건 : ㅇㅋ
October 2, 2022, 7:14 AM, 장동건 : ㄱㅅ
October 2, 2022, 7:15 AM, 장동건 : 화장을 시켜준다는거 같은데
October 2, 2022, 7:15 AM, 장동건 : 화장의 화가
October 2, 2022, 7:15 AM, 장동건 : 불 화자니..?
October 2, 2022, 7:15 AM, 이가은 : 아니 그건 땅에 도움이 안되잖아
October 2, 2022, 7:15 AM, 이가은 : 걍 묻으면 땅도 기름져지고
October 2, 2022, 7:15 AM, 장동건 : 생매장을 한다는거니.....????
October 2, 2022, 7:15 AM, 장동건 : 어머
October 2, 2022, 7:15 AM, 장동건 : 그거 불법이야
October 2, 2022, 7:15 AM, 이가은 : 사유지에 하면 돼
October 2, 2022, 7:16 AM, 장동건 : 아니
October 2, 2022, 7:16 AM, 장동건 : 그게 핀트가 아니자나
October 2, 2022, 7:16 AM, 이가은 : 동물은 사유지에 묻으면 불법아니지
October 2, 2022, 7:16 AM, 장동건 : 동물 학대가 불법이 아...닌가....?
October 2, 2022, 7:16 AM, 이가은 : 아니면 종량제봉투에 담아 버리던가
October 2, 2022, 7:17 AM, 장동건 : 어...
October 2, 2022, 7:17 AM, 장동건 : 내가 들어갈만한
October 2, 2022, 7:17 AM, 장동건 : 봉투가 있어...?
October 2, 2022, 7:17 AM, 이가은 : 이거 좀 잔인한데
October 2, 2022, 7:17 AM, 장동건 : 하지마
October 2, 2022, 7:17 AM, 장동건 : 신체분리 하지마
October 2, 2022, 7:17 AM, 장동건 : 온전한 상태로 죽어줘
October 2, 2022, 7:17 AM, 이가은 : 사후경직이 일어났을때
October 2, 2022, 7:17 AM, 장동건 : ㅇㅅㅇ
October 2, 2022, 7:17 AM, 장동건 : ㅇㅗㅇ
October 2, 2022, 7:17 AM, 이가은 : 뚝뚝 부러뜨려서...
October 2, 2022, 7:17 AM, 장동건 : ㅇㄴㅇ
October 2, 2022, 7:17 AM, 장동건 : ㅇㅈㅇ
October 2, 2022, 7:18 AM, 장동건 : ㅇㅂㅇ
October 2, 2022, 7:18 AM, 장동건 : ㅇㅌㅇ
October 2, 2022, 7:18 AM, 장동건 : 너무해
October 2, 2022, 7:18 AM, 이가은 : 적당히 구겨서 담아줄게
October 2, 2022, 7:18 AM, 장동건 : 그 가끔 드는 생각인데
October 2, 2022, 7:18 AM, 장동건 : 음..
October 2, 2022, 7:18 AM, 장동건 : 아냐..
October 2, 2022, 7:18 AM, 이가은 : 뭔데
October 2, 2022, 7:19 AM, 장동건 : 그...
October 2, 2022, 7:19 AM, 장동건 : 어..
October 2, 2022, 7:19 AM, 이가은 : 5
October 2, 2022, 7:19 AM, 이가은 : 4
October 2, 2022, 7:19 AM, 장동건 : 3
October 2, 2022, 7:19 AM, 이가은 : 3
October 2, 2022, 7:19 AM, 이가은 : 2
October 2, 2022, 7:19 AM, 장동건 : 느려
October 2, 2022, 7:19 AM, 장동건 : 1
October 2, 2022, 7:19 AM, 이가은 : 1
October 2, 2022, 7:19 AM, 이가은 : ㄱ?
October 2, 2022, 7:19 AM, 장동건 : 우리 집에 와
October 2, 2022, 7:19 AM, 장동건 : 그러면 내가 정당방위 명목으로
October 2, 2022, 7:19 AM, 장동건 : 사전으로 내리쳐줄게..
October 2, 2022, 7:20 AM, 이가은 : 사전보다 더 확실한걸 가지고 갈게
October 2, 2022, 7:20 AM, 장동건 : ㅇㅇ 일단 와
October 2, 2022, 7:20 AM, 장동건 : 아 ㅅ
October 2, 2022, 7:20 AM, 장동건 : 발가락 아작났음
October 2, 2022, 7:20 AM, 이가은 : ㅋ
October 2, 2022, 7:21 AM, 장동건 : ㅎ
October 2, 2022, 7:21 AM, 장동건 : 아니 근데
October 2, 2022, 7:21 AM, 장동건 : 너는 약간
October 2, 2022, 7:21 AM, 장동건 : 저런 얘기를 되게
October 2, 2022, 7:21 AM, 장동건 : 아무렇지 않게.
October 2, 2022, 7:21 AM, 장동건 : ..
October 2, 2022, 7:21 AM, 장동건 : 되게...
October 2, 2022, 7:21 AM, 이가은 : 정답!
October 2, 2022, 7:21 AM, 장동건 : ㅖ
October 2, 2022, 7:21 AM, 이가은 : 해본것처럼
October 2, 2022, 7:22 AM, 장동건 : ㅇㅇ
October 2, 2022, 7:22 AM, 이가은 : 설마
October 2, 2022, 7:22 AM, 장동건 : 설마 뭐
October 2, 2022, 7:23 AM, 장동건 : 뭐 진전이 없는듯 하니
October 2, 2022, 7:23 AM, 장동건 : 새로운 주제를 제시해보겠습니다
October 2, 2022, 7:23 AM, 이가은 : 아 좀
October 2, 2022, 7:23 AM, 장동건 : 유전학적으로
October 2, 2022, 7:23 AM, 장동건 : 닭이
October 2, 2022, 7:23 AM, 장동건 : 먼저인가 
October 2, 2022, 7:23 AM, 장동건 : 계란이 먼저인가
October 2, 2022, 7:23 AM, 장동건 : 뭐 왜
October 2, 2022, 7:23 AM, 장동건 : 기다려달라고?
October 2, 2022, 7:23 AM, 이가은 : 내가 생각해도 무서우니까
October 2, 2022, 7:24 AM, 이가은 : 단톡에 올리기 좀 그럼
October 2, 2022, 7:24 AM, 장동건 : 어 그래..
October 2, 2022, 7:24 AM, 장동건 : 자
October 2, 2022, 7:24 AM, 장동건 : 당신은 닭파인가요 계란파인가요
October 2, 2022, 7:24 AM, 이가은 : 닭
October 2, 2022, 7:25 AM, 장동건 : 음
October 2, 2022, 7:25 AM, 이가은 : 전 계란을 닭으로 못 키웁니다
October 2, 2022, 7:25 AM, 장동건 : 음
October 2, 2022, 7:25 AM, 장동건 : 그렇네
